S No.,Title,Decisions,Words
5812,Lowe names Narayan Ram as India Managing Director,"{""Lowe"": ""neutral""}",8
1277,Refinery stocks go up during downtrends & fall during uptrends: Deepak Mohoni,"{""Refinery stocks"": ""neutral""}",12
4433,"Lack of BB penetration will slow BWA revenues: Karan Mittal, ICICI Direct","{""BWA"": ""negative"", ""ICICI Direct"": ""neutral""}",12
3645,Asian shares fall as Malaysia jet downing hits sentiment,"{""Asian shares"": ""negative""}",9
4144,Bill Gates dumped a huge amount of Microsoft stock this year,"{""Microsoft"": ""negative""}",11
2879,"Pre-open: Nifty likely to open on positive note, find support at 8,100","{""Nifty"": ""positive""}",12
6494,Exchanges need to change mindset: Bombay Stock Exchange chief Ashish Chauhan,"{""Bombay Stock Exchange"": ""neutral""}",11
5241,"Dealing room buzz: Cipla, M&M, Tata Steel, SBI","{""Cipla"": ""neutral"", ""M&M"": ""neutral"", ""Tata Steel"": ""neutral"", ""SBI"": ""neutral""}",8
10121,"L&T, others in the infra sector to do well in the medium term: Ajay Bodke, Prabhudas Lilladher","{""L&T"": ""positive""}",17
6938,Satyam Computer basks in IT glory,"{""Satyam Computer"": ""positive""}",6
7241,Coriander futures up 2.51 pc on strong demand,"{""Coriander"": ""positive""}",8
9946,BNP Paribas to suspend some US dollar-clearing for one year: New York regulator,"{""BNP Paribas"": ""negative""}",13
2594,HSIL Q3 turnaround in building products division may trigger a re-rating,"{""HSIL"": ""positive""}",11
2394,Prefer Tata Motors among largecap auto stocks: P Phani Sekhar,"{""Tata Motors"": ""positive""}",10
524,Anil Dua quits Hero MotoCorp; to pursue career abroad,"{""Hero MotoCorp"": ""neutral""}",9
6377,Pre-market: Nifty seen opening flat; may find support around 7460,"{""Nifty"": ""neutral""}",10
6982,iGate stock gallops despite warnings,"{""iGate"": ""positive""}",5
6678,Five things to know about trading securities smartly in the stock market,"{""stock market"": ""neutral""}",12
3901,200 tonnes of gold to illegally enter India this year,"{""gold"": ""neutral""}",10
10366,Prefer Idea Cellular over Bharti Airtel in Telecom space: Ajay Bodke,"{""Idea Cellular"": ""positive"", ""Bharti Airtel"": ""neutral""}",11
5586,Multi-year stock market rally on cards: Analysts,"{""stock market"": ""positive""}",7
10072,"Brace for further fall; Nifty likely to slip below recent low of 7,997: Mitesh Thacker","{""Nifty"": ""negative""}",15
7957,Sensex can correct max by 5-10%; uptrend remains intact: Analysts,"{""Sensex"": ""positive""}",10
7571,Markets at 3-week high despite muted Asia: Top bets,"{""Markets"": ""positive""}",9
6778,Do not expect to see change in PSU bank fundamentals soon: Prashasta Seth,"{""PSU bank"": ""neutral""}",13
672,"Pre-market: Nifty seen opening flat; may reclaim 7,800 levels","{""Nifty"": ""neutral""}",9
4189,Escorts Q1 net down 41.49 per cent at Rs 34.11 crore,"{""Escorts"": ""negative""}",11
667,"Pipavav is steady: Ambareesh Baliga, Way2Wealth Brokers Pvt. Ltd","{""Pipavav"": ""neutral""}",9
3267,"Taiwan stocks down, tracking global markets","{""Taiwan stocks"": ""negative""}",6
1888,Sterling treads water just off six-year high,"{""Sterling"": ""positive""}",7
8473,Diageo stock surges on news of takeover by Brazillian billionaire Jorge Paulo Lemann,"{""Diageo"": ""positive""}",13
9912,Somany Ceramics drops 7% as firm sets QIP floor price at discount,"{""Somany Ceramics"": ""negative""}",12
9092,Raw sugar deals slow down after subsidy announcement,"{""Raw sugar"": ""negative""}",8
7688,"Upbeat earnings lift European shares, China still a drag","{""European shares"": ""positive""}",9
6032,F&O Tracker: Nifty Likely to Trade in 8650-8280 Zone,"{""Nifty"": ""neutral""}",9
6091,Maruti Suzuki could have avoided the mix-up: Prateek Agarwal,"{""Maruti Suzuki"": ""neutral""}",9
6239,BSE eyes trading speed of 20 microseconds in three years,"{""BSE"": ""neutral""}",10
7351,SBI: Growing loan book expected to boost margins,"{""SBI"": ""positive""}",8
7831,Hindalco bags one more coal mine in auction; stk gains,"{""Hindalco"": ""positive""}",10
761,U K Sinha gets two-year extension as Sebi chief,"{""Sebi"": ""neutral""}",9
6255,Commex regulator steps in to scotch rumours on agricultural futures,"{""Commex"": ""neutral"", ""agricultural futures"": ""neutral""}",10
1907,300 nifty points led by banking sector: Jagdish Malkani,"{""banking sector"": ""positive""}",9
3819,Ranbaxy Laboratories: Settlement takes away gains from Lipitor launch,"{""Ranbaxy Laboratories"": ""negative""}",9
6270,F&O Tracker: Call bunching at 7500 on Nifty shows resistance,"{""Nifty"": ""neutral""}",10
4301,SAT rejects Rose Valley's plea seeking more time to sell properties,"{""Rose Valley"": ""negative"", ""SAT"": ""neutral""}",11
5570,Mahalingam Balaji appointed IDC India Research Director,"{""IDC India"": ""neutral""}",7
7942,Ranbaxy Laboratories posts a better-than-expected net profit; stock up 4.5%,"{""Ranbaxy Laboratories"": ""positive""}",10
4165,Cipla Q4 net down 22.33 per cent to Rs 214 cr,"{""Cipla"": ""negative""}",11
5972,"Asset Reconstruction Company appoints Sanjay Jain as president, COO","{""Asset Reconstruction Company"": ""neutral""}",9
3580,Erratic gas supply hits Assam tea production,"{""Assam tea"": ""negative""}",7
2833,"ITC looks interesting at current levels: Prashasta Seth, IIFL Wealth, India Infoline","{""ITC"": ""positive"", ""IIFL Wealth"": ""neutral"", ""India Infoline"": ""neutral""}",12
5450,Gur ends flat in thin trade,"{""Gur"": ""neutral""}",6
3473,European shares resume slide as Russia fears persist,"{""European shares"": ""negative""}",8
6328,LSE Group names Nikhil Rathi CEO of London Stock Exchange,"{""LSE Group"": ""neutral"", ""London Stock Exchange"": ""neutral""}",10
138,Samsonite International appoints Ramesh Tainwala as global COO,"{""Samsonite International"": ""neutral""}",8
7044,Aanjaneya has been rising steadily: Deepak Mohoni,"{""Aanjaneya"": ""positive""}",7
4893,"Euronext, Shanghai Stock Exchange tie up to boost data business in China","{""Euronext"": ""neutral"", ""Shanghai Stock Exchange"": ""neutral""}",12
2181,ARSS Infra PAT up by 2% at Rs 26.11 cr,"{""ARSS Infra"": ""positive""}",10
7731,Automotive Stampings to raise Rs 29 cr via rights issue,"{""Automotive Stampings"": ""positive""}",10
3178,"IOB rises over 17% as Q4 net sees 4-fold jump; Experts up bets, see 27% upside","{""IOB"": ""positive""}",16
4855,Recommend to stay cautious on Cox & Kings and Tex Rail: Mayuresh Joshi,"{""Cox & Kings"": ""negative"", ""Tex Rail"": ""negative""}",13
4638,"Gillette to get costly, not a standard BT/ST call in long term: Jagdish Malkani","{""Gillette"": ""negative""}",14
5116,"Rally in IT stocks, RIL drives Sensex to one-month high","{""IT stocks"": ""positive"", ""RIL"": ""positive"", ""Sensex"": ""positive""}",10
10008,"Suzlon: Orders rise, but high debt may take wind out of its sails","{""Suzlon"": ""negative""}",13
7649,Smallcaps that can give good returns in near term,"{""Smallcaps"": ""positive""}",9
4262,Nifty50 in a no-trade zone due to holiday-truncated week: Sandeep Wagle,"{""Nifty50"": ""negative""}",11
1332,Helion co-founder Kanwaljit Singh moving out as VC firm names two new partners,"{""Helion"": ""neutral""}",13
7003,Den demerger talk lifts stock,"{""Den"": ""positive""}",5
9551,SREI Infra slumps on low valuation of American Tower-Viom deal,"{""SREI Infra"": ""negative""}",10
6942,Off-market divestment boosts PSU share performance,"{""PSU"": ""positive""}",6
8018,"22,214 is new closing high for Sensex: Top bets from experts","{""Sensex"": ""positive""}",11
6242,BSE to auction investment limits for Rs 332-crore government bonds,"{""BSE"": ""neutral"", ""government bonds"": ""neutral""}",10
9522,"Oil dives to new depths, rush to safety aids yen","{""Oil"": ""negative""}",10
10740,"Wipro, Siemens to exit Nifty from Monday","{""Wipro"": ""neutral"", ""Siemens"": ""neutral""}",7
6882,Reforms planned by the government will have a strong bearing on the market: Vinay Khattar,"{""market"": ""neutral""}",15
4531,Aditya Birla Nuvo Q1 Net down 20.41 per cent to Rs 263.7 crore,"{""Aditya Birla Nuvo"": ""negative""}",13
4674,Go short on Renuka Sugars once it starts trading below levels of 35: Mitesh Thacker,"{""Renuka Sugars"": ""negative""}",15
6997,Duncans surges after 50% stake sale,"{""Duncans"": ""positive""}",6
1253,IOT Infrastructure & Energy Services raises Rs 3000 crore from domestic investors,"{""IOT Infrastructure & Energy Services"": ""neutral""}",12
3375,Cautious on metal stocks: IV Subramaniam,"{""metal stocks"": ""negative""}",6
2815,"HCC a good pick in the construction space: Abhijit Paul, Brics Securities","{""HCC"": ""positive""}",12
4720,"ONGC, Oil India top pick in oil & gas space; can rally up to 46% in one year: Macquarie","{""ONGC"": ""positive"", ""Oil India"": ""positive"", ""Macquarie"": ""neutral""}",19
6545,"Macro data, FIIs to decide Indian mkt trend this week: Experts","{""Indian mkt"": ""neutral""}",11
4859,"Yen, Swiss franc rise on Iraq concerns, pound at 5-yr high vs dollar","{""Yen"": ""positive"", ""Swiss franc"": ""positive"", ""pound"": ""positive"", ""dollar"": ""neutral""}",13
7902,Nasdaq edges to record high to open busy earnings week,"{""Nasdaq"": ""positive""}",10
8581,"Offshore yuan surges by more than 1 per cent, set for biggest daily gain","{""yuan"": ""positive""}",14
8428,Titagarh Wagons launches open offer to buy up to 25% in Cimmco,"{""Titagarh Wagons"": ""positive"", ""Cimmco"": ""neutral""}",12
1078,Finance Ministry to give in-principle approval for UTI MF IPO soon,"{""UTI MF"": ""neutral""}",11
4364,"AAP may decimate Cong, no big moves seen on Sensex: Credit Suisse","{""Sensex"": ""negative"", ""Credit Suisse"": ""neutral""}",12
771,VRL Logistics sets Rs 195-205 price band for IPO,"{""VRL Logistics"": ""neutral""}",9
8866,JSPL down on CAG report: Prakash Diwan,"{""JSPL"": ""negative"", ""CAG"": ""neutral""}",7
250,"July 31, 2014: Mecklai Financial report on Rupee","{""Mecklai Financial"": ""neutral"", ""Rupee"": ""neutral""}",8
9767,Sensex plunges 400 points; over 70 stocks hit fresh 52-week lows,"{""Sensex"": ""negative""}",11
7240,Coriander futures gain 2.42 pc on rising demand,"{""Coriander"": ""positive""}",8
3420,Deutsche Bank downgrades Indian equities to neutral,"{""Indian equities"": ""negative"", ""Deutsche Bank"": ""neutral""}",7
10016,Warren Buffett's Berkshire equity portfolio goes awry; loses $5 bn since June 30,"{""Berkshire"": ""negative""}",13
4977,"JSPL, Monnet & NIIT Tech; three stocks that stole the show","{""JSPL"": ""positive"", ""Monnet"": ""positive"", ""NIIT Tech"": ""positive""}",11
4545,"China shares post biggest daily loss in six months on economy, liquidity worries","{""China"": ""negative""}",13
5566,JSW Steel promoter hikes stake in company,"{""JSW Steel"": ""neutral""}",7
7940,"Quality stocks will lead the rally: Vijai Mantri, Pramerica MF","{""Pramerica MF"": ""neutral""}",10
717,Sebi to soon notify norms to regulate research analysts,"{""Sebi"": ""neutral""}",9
10386,"Underweight on metals & manufacturing stocks : Vijai Mantri, Pramerica MF","{""metals"": ""negative"", ""manufacturing stocks"": ""negative"", ""Pramerica MF"": ""neutral""}",11
2049,Mid-caps could outperm large-caps in 6-12 months: Hemang Jani,"{""Mid-caps"": ""positive"", ""large-caps"": ""neutral""}",9
5998,Central Bank sells entire stake in CIBIL to Transunion,"{""CIBIL"": ""negative"", ""Central Bank"": ""neutral"", ""Transunion"": ""neutral""}",9
6601,Sebi mulls stronger norms to check misuse of POAs by brokers,"{""Sebi"": ""neutral""}",11
7246,"Dow tops 11,000 for first time since May","{""Dow"": ""positive""}",8
4179,Deccan Chronicle Holdings posts loss of Rs 46.57 cr in Q4,"{""Deccan Chronicle Holdings"": ""neutral""}",11
4810,"LIC, GIC and Indiabulls Housing Finance are good bets now: Phani Shekhar, Angel Broking","{""LIC"": ""positive"", ""GIC"": ""positive"", ""Indiabulls Housing Finance"": ""positive"", ""Angel Broking"": ""neutral""}",14
10202,D-Street trading: Mid & small cap stocks not yet out of the woods,"{""Mid"": ""neutral"", ""small cap stocks"": ""neutral""}",13
7141,PNB raises Rs 500 crore through bonds,"{""PNB"": ""positive""}",7
7191,Yamaha domestic sales up 35.81% in July,"{""Yamaha"": ""positive""}",7
1461,DLF has become extremely flat: Ashwani Gujral,"{""DLF"": ""neutral""}",7
5990,BSE asks brokers to remit excess STT to government,"{""BSE"": ""neutral""}",9
9861,IRB Infrastructure Q3 net profit down 24 pc at Rs 109 crore,"{""IRB Infrastructure"": ""negative""}",12
2001,Heritage Foods Q1 net profit rises 76 per cent,"{""Heritage Foods"": ""positive""}",9
8176,"Oracle Financial FY'11 net profit up 43.60% to Rs 1,111 crore","{""Oracle Financial"": ""positive""}",11
405,Euro back around $1.37 as ECB meets again,"{""Euro"": ""neutral"", ""ECB"": ""neutral""}",8
385,FMC unveils uniform warehouse accreditation norms for bourses,"{""FMC"": ""neutral"", ""bourses"": ""neutral""}",8
10165,"8200 holds the key for Nifty; Sensex likely to climb to 27,375: Mitesh Thacker","{""Sensex"": ""positive"", ""Nifty"": ""neutral""}",14
10207,"Pharma stocks rally after SC's Novartis verdict; analysts positive on DRL, Cipla, Natco","{""Pharma stocks"": ""positive"", ""DRL"": ""positive"", ""Cipla"": ""positive"", ""Natco"": ""positive""}",13
1634,Metal cos are having good volume growth',"{""Metal cos"": ""positive""}",7
10279,"Many stocks like BHEL, Siemens, Ambuja Cement, SAIL and Hindalco overvalued: Analysts","{""BHEL"": ""negative"", ""Siemens"": ""negative"", ""Ambuja Cement"": ""negative"", ""SAIL"": ""negative"", ""Hindalco"": ""negative""}",12
4785,"IT stocks fall after UBS downgrades Infosys to 'sell'; Wipro, TCS down over 1%","{""IT stocks"": ""negative"", ""Infosys"": ""negative"", ""Wipro"": ""negative"", ""TCS"": ""negative"", ""UBS"": ""neutral""}",14
10176,From fragile five to two good: Dollar flexing muscles but rupee is fit too,"{""rupee"": ""positive"", ""Dollar"": ""positive""}",14
6971,Manufacturing stuns markets with best show,"{""Manufacturing"": ""positive""}",6
3926,"China shares edge lower on supply concerns, Hong Kong weaker","{""China shares"": ""negative"", ""Hong Kong"": ""negative""}",10
4159,"Challenging for companies to raise money: U K Sinha, Sebi Chairman","{""Sebi"": ""neutral""}",11
7450,CFCL Q1 net up 81% at Rs 146.32 cr,"{""CFCL"": ""positive""}",9
8416,"Strides' Q4 profit jumps 47-fold to Rs 3,525 crore on investment sale","{""Strides"": ""positive""}",12
2194,"Brent holds above $107 on US crude draw, China data","{""Brent"": ""positive""}",10
10017,Wockhardt slips nearly 4 per cent as Illinois unit comes under USFDA scanner,"{""Wockhardt"": ""negative""}",13
1016,"Watch out for 720-725 band in Reliance: Vijay Bhambwani, BSPLindia.com","{""Reliance"": ""neutral"", ""BSPLindia.com"": ""neutral""}",10
5125,"Sensex rangebound, Nifty below 7800; top fifteen stocks in focus","{""Nifty"": ""negative"", ""Sensex"": ""neutral""}",10
7419,AstraZeneca Pharma rallies over 12% as shareholders approve delisting,"{""AstraZeneca Pharma"": ""positive""}",9
7410,"America, Q3 results or politics; what's making markets surge?","{""America"": ""positive""}",9
8990,Credit Suisse downgrades Ipca Labs; stock plunges 15%,"{""Ipca Labs"": ""negative"", ""Credit Suisse"": ""neutral""}",8
2872,Opto Circuits gains over 12% on stake sale reports to Goldman Sachs,"{""Opto Circuits"": ""positive"", ""Goldman Sachs"": ""neutral""}",12
10,Genpact appoints Edward J Fitzpatrick as CFO,"{""Genpact"": ""neutral""}",7
1839,LIC buys 5.94% stake in BHEL,"{""BHEL"": ""positive"", ""LIC"": ""neutral""}",6
4805,"HPCL, BPCL, IOC excellent stocks to buy if subsidy issues get cleared: Sudip Bandyopadhyay","{""HPCL"": ""positive"", ""BPCL"": ""positive"", ""IOC"": ""positive""}",14
256,"Mecklai Financial Report: Novermber 03, 2014","{""Mecklai Financial"": ""neutral""}",6
7027,Bajaj Finserv pretty attractive: Hemang Jani,"{""Bajaj Finserv"": ""positive""}",6
5714,BSE to launch IRF trading from January 20,"{""BSE"": ""neutral""}",8
3325,Not bullish on power sector: Manish Sonthalia,"{""power sector"": ""negative""}",7
7715,Allahabad Bank Q4 profit up 15% to Rs 257.6 crore,"{""Allahabad Bank"": ""positive""}",10
1582,Premier Explosives surges on licence for defense products,"{""Premier Explosives"": ""positive""}",8
925,Nifty may be on its way to 6800: Ashwani Gujral,"{""Nifty"": ""neutral""}",10
2780,"Cabinet clears bills on Sebi, insurance FDI; market gives thumbs-up to development","{""Sebi"": ""positive""}",12
7892,Mindtree's Q4 net up 14 pc at Rs 78.9 cr,"{""Mindtree"": ""positive""}",10
6133,Pre-market: Nifty likely to open gap-down on Greece woes,"{""Nifty"": ""neutral""}",9
5321,"IOC, BPCL, HPCL slipped on Moody's view","{""IOC"": ""negative"", ""BPCL"": ""negative"", ""HPCL"": ""negative"", ""Moody's"": ""neutral""}",7
7313,No serious corrections expected in market: Ashwani Gujral,"{""market"": ""neutral""}",8
7103,Hindalco gains upto 6% on value buying,"{""Hindalco"": ""positive""}",7
6043,Gold dips but Malaysian plane downing seen aiding sentiment,"{""Gold"": ""neutral""}",9
3776,Market taking bearish or a negative position: Ashwani Gujral,"{""Market"": ""negative""}",9
4836,"BPCL, HPCL on declines look like a good bet: Mayuresh Joshi, Angel Broking","{""BPCL"": ""positive"", ""HPCL"": ""positive"", ""Angel Broking"": ""neutral""}",13
4965,"CNX IT, tech stocks look poised for fresh highs: Ashwani Gujral","{""CNX IT"": ""positive"", ""tech stocks"": ""positive""}",11
540,BSE and NSE announce trading holiday on April 24,"{""NSE"": ""neutral"", ""BSE"": ""neutral""}",9
7484,Equity to outperform other asset classes in 2015: Experts,"{""Equity"": ""positive""}",9
2746,Zydus Wellness Q3 net profit up 66% at Rs 44 crore,"{""Zydus Wellness"": ""positive""}",11
3720,European shares fall for fourth session in a row,"{""European shares"": ""negative""}",9
6820,RIL AGM will be a landmark event for corporate India and telecom sector,"{""RIL"": ""neutral"", ""corporate India"": ""neutral"", ""telecom sector"": ""neutral""}",13
9338,Silver remains down in futures trade tracking global cues,"{""Silver"": ""negative""}",9
4469,RComm will see further upside on plans to reduce debt: Shashank Khade,"{""RComm"": ""positive""}",12
668,Piramal Enterprises Q3 net profit at Rs 249 crore,"{""Piramal Enterprises"": ""neutral""}",9
7576,Miners boost Britain's FTSE on bullishness over China's economy,"{""FTSE"": ""positive""}",9
8550,"Are IT stocks losing touch? No, it's the right time to buy, say experts","{""IT stocks"": ""positive""}",14
5064,"Chill on street continues; Sensex slips 93 points, Infosys shines","{""Infosys"": ""positive"", ""Sensex"": ""negative""}",10
1354,Taking DVR route to Tata Motors' rights issue may be a better play,"{""Tata Motors"": ""neutral"", ""DVR"": ""neutral""}",13
7115,Insecticides is a strong stock: Deepak Mohoni,"{""Insecticides"": ""positive""}",7
10511,"Tech, healthcare shares lead China market higher; Hong Kong up","{""Tech"": ""positive"", ""healthcare shares"": ""positive"", ""China market"": ""positive"", ""Hong Kong"": ""positive""}",10
8663,Snowman may be a cool long-term buy; large cold storage network gives it a competitive edge,"{""Snowman"": ""positive""}",16
2704,Sobha Developers: A realty counter that may give over 45% returns,"{""Sobha Developers"": ""positive""}",11
3331,Pantaloon shares slump as net loss widens,"{""Pantaloon"": ""negative""}",7
8054,City Union Bank Q4 Net rises 1% to Rs 83.34 crore,"{""City Union Bank"": ""positive""}",11
9589,Zenotech Laboratories Q3 net loss widens to Rs 3.75 cr,"{""Zenotech Laboratories"": ""negative""}",10
3585,Bearish on Ashok Leyland: Gaurang Shah,"{""Ashok Leyland"": ""negative""}",6
10157,"State-run Cos REC, PFC, PGC etc expect rates to fall, may offer short tenure bonds","{""REC"": ""neutral"", ""PFC"": ""neutral"", ""PGC"": ""neutral""}",15
5646,Should investors subscribe to Shemaroo Entertainment IPO?,"{""Shemaroo Entertainment"": ""neutral""}",7
3377,Mentha oil falls 0.35 per cent on profit-booking,"{""Mentha oil"": ""negative""}",8
1257,"Keshub Mahindra retires as Mahindra & Mahindra Chairman, Anand Mahindra takes over","{""Mahindra & Mahindra"": ""neutral""}",12
6191,Sunil Mittal appointed co-chair of India Africa Business Council,"{""India Africa Business Council"": ""neutral""}",9
9443,GlaxoSmithKline Pharma Q2 Net down 14.56% to Rs 98.29 crore,"{""GlaxoSmithKline Pharma"": ""negative""}",10
5349,"Chilli, jeera rise on increased buying","{""Chilli"": ""positive"", ""jeera"": ""positive""}",6
4176,"Credit Suisse cuts Bharti Airtel to Underperform, stock falls over 4%","{""Bharti Airtel"": ""negative"", ""Credit Suisse"": ""neutral""}",11
4911,"Positive on oil and gas stocks: Sadanand Shetty, Taurus Asset Management Company","{""oil and gas stocks"": ""positive"", ""Taurus Asset Management Company"": ""neutral""}",12
1853,AstraZeneca Pharma surges on strong Q4 results,"{""AstraZeneca Pharma"": ""positive""}",7
6317,Japan's Recruit prices $2 billion IPO at top of range,"{""Recruit"": ""neutral""}",10
10598,"Yuan touches 6-month low, Taiwan dollar hits 4-year low","{""Yuan"": ""negative"", ""Taiwan dollar"": ""negative""}",9
2106,SCI soars 8 pc in early trade on BSE,"{""SCI"": ""positive""}",9
134,"Saudi market opens, may affect global fund flows","{""Saudi market"": ""neutral""}",8
5030,"Dollar steadies from payrolls wobble, Aussie firmer on house data","{""Dollar"": ""neutral"", ""Aussie"": ""neutral""}",10
929,"Nifty to trade in a range of 8350-8,550: Ashwani Gujral","{""Nifty"": ""neutral""}",10
824,Cos with high IPO grades have higher PE multiples: Crisil,"{""Crisil"": ""neutral""}",10
7577,"Miners help FTSE bounce, but weak results cap gains","{""FTSE"": ""positive""}",9
1532,CLSA maintains 'Buy' on Shree Cement,"{""Shree Cement"": ""positive"", ""CLSA"": ""neutral""}",6
1215,Beaten down counters aid Sensex; Top ten stocks to watch this week,"{""Sensex"": ""neutral""}",12
505,Sanjiv Mediratta joins Amalgamated Bean Coffee Trading Company,"{""Amalgamated Bean Coffee Trading Company"": ""neutral""}",8
6531,"Investment banker Manish Chokhani to head TPGs India, SE Asia play","{""TPGs India"": ""neutral"", ""SE Asia play"": ""neutral""}",11
3073,Bharti Infratel fourth quarter net profit may rise  by 36 per cent: Report,"{""Bharti Infratel"": ""positive""}",14
9577,Videocon Industries Q4 Net down 47% at Rs 86.42 crore,"{""Videocon Industries"": ""negative""}",10
9087,Potato futures fall 2.58 pc on sluggish demand,"{""Potato"": ""negative""}",8
8648,Adlabs' IPO a good opportunity for investors willing to invest in entertainment  biz: Deven Choksey,"{""Adlabs"": ""positive""}",16
6620,"Still enough trading opportunities in primary sectors: Prakash Diwan, Altamount Capital","{""Altamount Capital"": ""neutral""}",11
9274,Moser Baer Q2 standalone loss at Rs 131.75 cr,"{""Moser Baer"": ""negative""}",9
3710,DTC proposal to create volatility in stock markets: Analysts,"{""DTC"": ""negative""}",9
10311,US stocks: Wall Street ends down 5th session; oil prices fall further,"{""Wall Street"": ""negative"", ""oil"": ""negative""}",12
4850,"Large cap IT stocks like TCS, Infosys are a decent buy: Ashwani Gujral","{""TCS"": ""positive"", ""Infosys"": ""positive""}",13
4749,"Ranbaxy, Cipla and Glenmark may go up by 20-25% in longer term: K R Choksey Securities","{""Ranbaxy"": ""positive"", ""Cipla"": ""positive"", ""Glenmark"": ""positive"", ""K R Choksey Securities"": ""neutral""}",16
4269,Panacea Biotec posts net loss at Rs 66 crore in Q1,"{""Panacea Biotec"": ""neutral""}",11
10623,"Rupee, government bonds hit by US data, Bihar results","{""Rupee"": ""negative"", ""government bonds"": ""negative""}",9
8906,RBIs balancing act amid shaky currency market,"{""currency market"": ""negative""}",7
4187,Elder Pharma defaults on Rs 261 crore interest payment on debentures,"{""Elder Pharma"": ""negative""}",11
5302,"SBI, HDFC best bets in banking: Deepak Mohoni","{""SBI"": ""positive"", ""HDFC"": ""positive""}",8
2924,Suzlon Energy rallies 20% in two sessions as Q4 net loss narrows,"{""Suzlon Energy"": ""positive""}",12
6589,Results announcement: NTPC asks directors not to trade in its shares,"{""NTPC"": ""neutral""}",11
1811,Coffee Day gains; Citi starts at 'buy',"{""Coffee Day"": ""positive"", ""Citi"": ""neutral""}",7
3487,"Edible oils decline on easing demand, adequate supply","{""Edible oils"": ""negative""}",8
7420,Aurobindo Pharma rallies over 8% on strong Q2 results,"{""Aurobindo Pharma"": ""positive""}",9
3142,Kansai Nerolac Paints Q2 net profit up by 40.62 per cent at Rs 72.66 crore,"{""Kansai Nerolac Paints"": ""positive""}",15
10020,"Zinc futures fall 0.17 per cent on low spot demand, weak global cues","{""Zinc"": ""negative""}",13
9348,Steady supply keeps Brent oil below $100 a barrel,"{""Brent oil"": ""negative""}",9
1325,Forward Markets Commission steps up vigil to curb volatility on NCDEX and MCX,"{""Forward Markets Commission"": ""neutral""}",13
4313,Sell Indiabulls Realty with a target of Rs 60: Mitesh Thacker,"{""Indiabulls Realty"": ""negative""}",11
7495,FCCBs weigh on Subex as new orders raise hopes,"{""Subex"": ""positive""}",9
8703,Select grains down on reduced offtake,"{""Select grains"": ""negative""}",6
9873,Panacea Biotec slips as Q1 net loss widens to Rs 37 crore,"{""Panacea Biotec"": ""negative""}",12
8692,Legal hurdle sours sugar exports,"{""sugar"": ""negative""}",5
10224,EID Parry is a good pick from sugar and agri space: Shrikant Chouhan,"{""EID Parry"": ""positive""}",13
10049,MD CP Gurnani sells 1.46 lakh shares of Tech Mahindra for Rs 15.51 crore,"{""Tech Mahindra"": ""negative"", ""MD CP Gurnani"": ""neutral""}",14
9581,Volatility higher but fall in contract value hits gold turnover,"{""gold"": ""negative""}",10
5542,Gold barely changed on mixed economic signals,"{""Gold"": ""neutral""}",7
6173,Sebi seeks clarification from 3 firms on IPO plans,"{""Sebi"": ""neutral""}",9
1541,Bernanke comments push Sensex by over 350 points,"{""Sensex"": ""positive""}",8
9410,"Copper weakens in futures trade on global cues, subdued demand","{""Copper"": ""negative""}",10
2682,"Revival in demand fueling Ashok Leyland stock: Ajay Bodke, Prabhudas Lilladher","{""Ashok Leyland"": ""positive""}",11
10627,"Stocks, dollar, climb as Fed takes a first step","{""Stocks"": ""positive"", ""dollar"": ""positive""}",9
6314,Investors should be judicious in the IT space: Ajay Bodke,"{""IT space"": ""neutral""}",10
1192,"To keep growing in 2010, stock markets want costs under check","{""stock markets"": ""neutral""}",11
5294,"Guarseed, gum margins on longs raised to 30%","{""Guarseed"": ""positive"", ""gum"": ""positive""}",8
1543,Selan Oil Exploration shares rally on buy-back plans,"{""Selan Oil Exploration"": ""positive""}",8
7057,Buoyant StanChart helps Europe stocks bounce back,"{""StanChart"": ""positive"", ""Europe stocks"": ""positive""}",7
2540,Commodity market can create additional 5 mn jobs in 5 years',"{""Commodity"": ""positive""}",11
954,"Q1 earnings: Lanco Infratech PAT seen at Rs 3,480 crore","{""Lanco Infratech"": ""neutral""}",10
7242,Crude palm oil futures up on spot demand,"{""Crude palm oil"": ""positive""}",8
6732,RBI monetary policy to set the tone for stock market this week,"{""RBI"": ""neutral"", ""stock market"": ""neutral""}",12
4847,"ICICI, Axis & HDFC Bank will gain most from economic revival, say analysts","{""ICICI"": ""positive"", ""Axis"": ""positive"", ""HDFC Bank"": ""positive""}",13
6802,"JPMorgan downgrades RIL rating  to 'Neutral', raises target price to Rs 1,100","{""JPMorgan"": ""neutral"", ""RIL"": ""neutral""}",13
8011,Why you should buy L&T at lows despite weak earnings,"{""L&T"": ""positive""}",10
4331,"Sistema Shyam Q2 loss widens Rs 1,180 crore on weak rupee","{""Sistema Shyam"": ""negative""}",11
8925,"Sugar futures fall on govt measures, profit-booking","{""Sugar"": ""negative""}",7
5335,"Gold, silver spike catches traders off guard","{""Gold"": ""positive"", ""silver"": ""positive""}",7
7331,"Premium drive, new bike key to Bajaj's momentum","{""Bajaj"": ""positive""}",8
9349,Steel stocks decline on weak China factory output data,"{""Steel stocks"": ""negative""}",9
4730,"Etsy, Virtu Financial & Party City IPOs may end slow start for 2015 debuts on Wall Street","{""Etsy"": ""neutral"", ""Virtu Financial"": ""neutral"", ""Party City"": ""neutral""}",17
