S No.,Title,Decisions,Words
6512,GoDaddy's IPO to value web-hosting company at up to $2.87 billion,"{""GoDaddy"": ""neutral""}",11
5440,IndiGo to debut today on bourses,"{""IndiGo"": ""neutral""}",6
9951,"Cement consumption unlikely to increase in near term: Prateek Agarwal, ASK Investment Managers","{""Cement"": ""negative"", ""ASK Investment Managers"": ""neutral""}",13
5511,Commercial papers fast replacing conventional bank loans,"{""Commercial papers"": ""neutral"", ""conventional bank loans"": ""neutral""}",7
5331,"Citi bullish on metals, upgrades Tata Steel","{""metals"": ""positive"", ""Tata Steel"": ""positive"", ""Citi"": ""neutral""}",7
4532,AirAsia shares sink to 5-year low on threat of suspension at Indonesia unit,"{""AirAsia"": ""negative""}",13
366,"India valuations are less compelling, says Goldman Sachs","{""Goldman Sachs"": ""neutral""}",8
10736,"ONGC, SBI drag Sensex to 8-week low","{""ONGC"": ""negative"", ""SBI"": ""negative"", ""Sensex"": ""negative""}",7
148,RP-Sanjiv Goenka Group to begin new CSR initiatives,"{""RP-Sanjiv Goenka Group"": ""neutral""}",8
1669,KEC International rallies on strong Q4 results,"{""KEC International"": ""positive""}",7
10214,ADAG pack fires up after Ambani brothers seal Rs 1200 crore telecom deal,"{""ADAG pack"": ""positive""}",13
7651,Solid volumes may help Ashok Leyland stock maintain momentum,"{""Ashok Leyland"": ""positive""}",9
8600,"Ambuja, ACC post higher Q2 profits of Rs 239 crores and Rs 192 crores respectively","{""Ambuja"": ""positive"", ""ACC"": ""positive""}",15
7789,Edelweiss is a good bet in broking stocks: Nitin Raheja,"{""Edelweiss"": ""positive""}",10
3457,Mistaken identity costs Future Group dear,"{""Future Group"": ""negative""}",6
3272,"Wealthy investors exit stocks, get debt for safety","{""stocks"": ""negative""}",8
4941,Jewellery stocks rebound after initial dip; PCJ soars 19 per cent,"{""Jewellery stocks"": ""positive"", ""PCJ"": ""positive""}",11
6231,Alkem Labs appoints banks for up to $291 million IPO,"{""Alkem Labs"": ""neutral""}",10
9587,Would not take a position on the Nifty: Deepak Mohoni,"{""Nifty"": ""negative""}",10
8738,Bearish on Great Offshore: Ashwani Gujral,"{""Great Offshore"": ""negative""}",6
3927,China yuan edges down on weak midpoint and FDI data,"{""China yuan"": ""negative""}",10
9193,Chambal Fertilisers may slide to 68-69 levels: Mitesh Thacker,"{""Chambal Fertilisers"": ""negative""}",9
8081,Extremely positive on RIL; stock may see rerating:  Mayuresh Joshi,"{""RIL"": ""positive""}",11
79,Red-hot sterling cools a touch after PMI numbers,"{""sterling"": ""neutral""}",8
7089,F&O Tracker: Nifty support likely around 6220-6000,"{""Nifty"": ""neutral""}",7
2248,Ethanol acts as lone bright spot amid China commodity gloom,"{""Ethanol"": ""positive""}",10
8889,OMC stocks not looking attractive: UR Bhat,"{""OMC stocks"": ""negative""}",7
10697,"Vedanta, Hindalco to exit Sensex on December 21","{""Vedanta"": ""negative"", ""Hindalco"": ""negative"", ""Sensex"": ""neutral""}",8
7452,Changes in fundamentals makes Tata Motors sustainable: Prakash Diwan,"{""Tata Motors"": ""positive""}",9
2280,Hindalco shares surge over 3% as company bags maximum mines,"{""Hindalco"": ""positive""}",10
8124,Intel could rise 30 per cent over next two years: Report,"{""Intel"": ""positive""}",11
3898,Yield of Dollar bonds plunges to a 9-year low,"{""Dollar bonds"": ""positive""}",9
8680,"Downgrade Wipro to 'Hold', says Edelweiss","{""Wipro"": ""negative""}",6
7178,Trent shares gain nearly 6% on bourses,"{""Trent"": ""positive""}",7
10172,"Capital goods names like Cummins, Voltas and Engineers India to fetch returns: Manish Sonthalia","{""Cummins"": ""positive"", ""Voltas"": ""positive"", ""Engineers India"": ""positive""}",14
3632,Bombay Stock Exchange suspends trading in 49 companies,"{""Bombay Stock Exchange"": ""neutral""}",8
9281,Nestle India slips over 1% on gross margins concerns,"{""Nestle India"": ""negative""}",9
6273,FIIs submit bids worth $ 1.58 billion for government bonds,"{""government bonds"": ""neutral""}",10
8617,Does Greece matter to India? Nifty likely to hit Mt 11K in next 18 months,"{""Nifty"": ""positive""}",15
393,Ficci establishes centre for corporate governance,"{""Ficci"": ""neutral""}",6
3192,"Earning upgrades in H2 will give a good fillip to the market: Avinash Gorakshekar, Anagram Capital Ltd","{""Anagram Capital"": ""neutral""}",17
17,Why Chinese stocks leave US investors vulnerable,"{""US"": ""negative"", ""Chinese stocks"": ""neutral""}",7
4201,Farmers may shift from Chana as prices fall below 10-15% MSP,"{""Chana"": ""negative""}",11
2673,Ramky Infra FY'11 consolidated net up 62pc to Rs 206 crore,"{""Ramky Infra"": ""positive""}",11
6165,Sebi allows Pune Stock Exchange to exit bourse business,"{""Sebi"": ""neutral"", ""Pune Stock Exchange"": ""neutral""}",9
3494,Over 5.6% stake in Dish TV pledged,"{""Dish TV"": ""negative""}",7
7395,Welspun Corp soars 9% on robust Q2 earnings,"{""Welspun Corp"": ""positive""}",8
4840,"Farm sector stocks like HUL, Dabur may suffer due to El Nino effect","{""HUL"": ""negative"", ""Dabur"": ""negative""}",13
594,"Immediate target for Nifty is 6230-6250: Sandeep Wagle, APTART","{""Nifty"": ""neutral"", ""APTART"": ""neutral""}",9
10021,8300-8400 levels on Nifty to be worst case scenario post Budget 2015: Ashwani Gujral,"{""Nifty"": ""negative""}",14
5828,NBCC IPO subscribed 58 pc on Day 3,"{""NBCC"": ""neutral""}",8
7962,Shilpi Cable Technologies rallies as Q1 net profit jumps 55%,"{""Shilpi Cable Technologies"": ""positive""}",10
5888,"Saria, other steel remain flat in thin trade","{""Saria"": ""neutral"", ""steel"": ""neutral""}",8
2356,New RBI norms to aid higher earnings of banks:Credit Suisse,"{""RBI"": ""neutral"", ""Credit Suisse"": ""neutral""}",10
6037,Flash crash: Sebi to hear NSE's reply on Monday,"{""Sebi"": ""neutral"", ""NSE"": ""neutral""}",9
4799,"Double-digit returns seen from IT stocks; Wipro, HCL Tech, NIIT Tech hit 52-week highs","{""IT stocks"": ""positive"", ""Wipro"": ""positive"", ""HCL Tech"": ""positive"", ""NIIT Tech"": ""positive""}",14
9304,Ranbaxy plunges 25% in two sessions after USFDA ban,"{""Ranbaxy"": ""negative""}",9
4593,Pfizer net profit declines 56.11 per cent to Rs 220.85 crore in FY14,"{""Pfizer"": ""negative""}",13
8657,"Orient Cement rallies 20 per cent, hits 52-week high as Rakesh Jhunjhunwala buys 17.1 lakh shares","{""Orient Cement"": ""positive""}",16
164,RBI moves to curb novel bond structure,"{""RBI"": ""neutral""}",7
9965,HDIL Q2 net profit down 70% at Rs 42.7 crore; income up 66%,"{""HDIL"": ""negative""}",13
10149,"Infosys, Wipro, MindTree slip over 10% since March; is it time to revisit IT stocks?","{""Infosys"": ""negative"", ""Wipro"": ""negative"", ""MindTree"": ""negative""}",15
10515,"UltraTech, ACC top bets among largecap cement stocks: Mayuresh Joshi","{""UltraTech"": ""positive"", ""ACC"": ""positive""}",10
7381,Textile sector will perform now: Tata Investment Corporation,"{""Textile sector"": ""positive"", ""Tata Investment Corporation"": ""neutral""}",8
10707,"Dealing Room Buzz: Alstom, DRL, Raymond, Titan","{""Alstom"": ""positive"", ""DRL"": ""positive"", ""Raymond"": ""positive"", ""Titan"": ""positive""}",7
6357,"Nifty likely to test its 200-DMA of 8,250: Ashwani Gujral","{""Nifty"": ""neutral""}",10
5543,Gold trades flat a day before Diwali,"{""Gold"": ""neutral""}",7
6008,Coaching institute Resonance Eduventures Plans Rs 500 crore IPO,"{""Resonance Eduventures"": ""neutral""}",9
7994,"Unity Infra could give a decent upside: Hemang Jani, Sharekhan","{""Unity Infra"": ""positive"", ""Sharekhan"": ""neutral""}",10
7639,Shalimar paints has good headroom for growth: Prakash Diwan,"{""Shalimar paints"": ""positive""}",9
6794,H Kumar takes over as Managing Director of Mangalore Refinery and Petrochemicals Ltd,"{""Mangalore Refinery and Petrochemicals Ltd"": ""neutral""}",13
7759,Ceat Q3 net profit surges three-fold to Rs 67 crore,"{""Ceat"": ""positive""}",10
4838,"Dish TV, TV18, and Zee TV look good in media space: Dilip Bhat","{""Dish TV"": ""positive"", ""TV18"": ""positive"", ""Zee TV"": ""positive""}",13
2294,Indraprastha Gas gains 2% as govt defers gas price hike,"{""Indraprastha Gas"": ""positive""}",10
6549,"Market may remain sideways; 8,150-8,200 range holds the key: Ashwani Gujral","{""Market"": ""neutral""}",11
7899,Mundra Port Q3 net up 40% at Rs 228.46 cr,"{""Mundra Port"": ""positive""}",10
4482,Sell Bharti Airtel Ltd with target price of Rs 289: Prakash Gaba,"{""Bharti Airtel Ltd"": ""negative""}",12
3717,Essar stocks fall; group signs pacts with Russian firms,"{""Essar stocks"": ""negative""}",9
6141,PVR reports Q3 net profit at Rs 31.55 crore,"{""PVR"": ""neutral""}",9
1550,Sabero's growth prospects appear attractive,"{""Sabero"": ""positive""}",5
2045,Mastek surges over 14% as subsidiary plans NYSE listing,"{""Mastek"": ""positive""}",9
768,Visa Steel appoints Punkaj Kumar Bajaj as new CEO,"{""Visa Steel"": ""neutral""}",9
5694,Asian Paints Q2 Net at Rs 347.30 crore,"{""Asian Paints"": ""neutral""}",8
7871,"LIC buys 4.66% stake in BHEL for Rs 1,889 crore","{""LIC"": ""positive"", ""BHEL"": ""positive""}",10
7858,"Jaypee, Reliance Group stocks in focus ahead of UP results","{""Jaypee"": ""positive"", ""Reliance Group stocks"": ""positive""}",10
3303,Rupee falls 32 paise against dollar,"{""Rupee"": ""negative"", ""dollar"": ""neutral""}",6
4518,Uflex crashes 13% on reports of bogus sale worth Rs 100 crore,"{""Uflex"": ""negative""}",12
10032,Crude likely to fall to $60 a barrel in near to medium term: Experts,"{""Crude"": ""negative""}",14
3293,It is Sensexs third-worst Samvat in a decade,"{""Sensex"": ""negative""}",8
1404,AstraZeneca planning to delist Indian subsidiary; likely to appoint Merrill Lynch as manager for delisting,"{""AstraZeneca"": ""neutral"", ""Merrill Lynch"": ""neutral""}",15
1383,Infusion of additional $1 trillion to India's GDP to create new midcap leaders: Barclays,"{""Barclays"": ""neutral""}",14
6929,Spices sizzle on bad weather,"{""Spices"": ""positive""}",5
5672,10 takeaways from the second-quarter results of Infosys,"{""Infosys"": ""neutral""}",8
1639,MBL Infrastructures surges 18% on listing,"{""MBL Infrastructure"": ""positive""}",6
6908,"It does not make sense to go in for buying in the current environment: Hemang Jani, Sharekhan","{""Sharekhan"": ""neutral""}",17
8592,Tyre stocks may go up by another 30% from these levels: P Phani Sekhar,"{""Tyre stocks"": ""positive""}",14
6407,Six trading houses imported 40 per cent gold in September,"{""gold"": ""neutral""}",10
1180,"Seeing broader participation in market; Nifty may revisit 8,050: Ashwani Gujral","{""Nifty"": ""neutral""}",11
5449,Gur closes steady in thin trade,"{""Gur"": ""neutral""}",6
5079,"Expect more downside in the IT, pharma stocks: Sandeep Wagle","{""IT"": ""negative"", ""pharma"": ""negative""}",10
8649,Ancillary stocks like Ashok Leyland set to gain from rise in mining activity in coming years,"{""Ashok Leyland"": ""positive""}",16
5176,"Nifty slips in red; capital goods, banks, metals down","{""Nifty"": ""negative"", ""capital goods"": ""negative"", ""banks"": ""negative"", ""metals"": ""negative""}",9
690,Rice bran oil set to smoke out olive oil,"{""Rice bran oil"": ""positive"", ""olive oil"": ""negative""}",9
9532,Ranbaxy net loss at Rs 73.6 crore in Jan-Mar quarter,"{""Ranbaxy"": ""negative""}",10
6526,In no hurry to recommend 'Buy' on Coal India: Mehraboon Irani,"{""Coal India"": ""neutral""}",11
10561,"JSW Steel, Hindalco, Tata Power down on coalblock deallocation","{""JSW Steel"": ""negative"", ""Hindalco"": ""negative"", ""Tata Power"": ""negative""}",9
6489,"Dollar flatlines ahead of Janet Yellen, Mario Draghi at Jackson Hole","{""Dollar"": ""neutral"", ""Jackson Hole"": ""neutral""}",11
7155,"Rising gold lifts coin, gold loan demands","{""gold"": ""positive"", ""coin"": ""positive"", ""gold loan"": ""positive""}",7
9055,Low demand pulls down crude palm oil futures,"{""crude palm oil"": ""negative""}",8
6611,Shemaroo Entertainment Rs 120 crore IPO to open on September 16,"{""Shemaroo Entertainment"": ""neutral""}",11
9217,"Egypt security to keep buyers away, Saudi budget eyed","{""Egypt security"": ""negative""}",9
4350,United Bank of India's loss will test Basel III aproach: Fitch,"{""United Bank of India"": ""neutral"", ""Fitch"": ""neutral""}",11
1885,"Tinplate is certainly a hold: Deepak Mohoni, trendwatchindia.com","{""Tinplate"": ""neutral"", ""trendwatchindia.com"": ""neutral""}",8
9297,"Poor show in domestic business, disappointment for Lupins investors","{""Lupins"": ""negative""}",9
2495,Amara Raja Batteries Q2 net up 23% at Rs 123 crore,"{""Amara Raja Batteries"": ""positive""}",11
5948,Watch out for the banking space: Angel Broking,"{""Angel Broking"": ""neutral""}",8
3037,Pre-election rally: BSE benchmark index hits lifetime high as FIIs pump $1 billion,"{""BSE benchmark index"": ""positive""}",13
5778,HCL Infosystems appoints two independent directors on Board,"{""HCL Infosystems"": ""neutral""}",8
846,Five things to watch out for in HCL Technologies earnings,"{""HCL Technologies"": ""neutral""}",10
8735,Bearish on IDFC: Sudip Bandyopadhyay,"{""IDFC"": ""negative""}",5
7968,Sinclairs Hotels Q1 net profit up at Rs 2.67 crore,"{""Sinclairs Hotels"": ""positive""}",10
9121,"Stress in Indusind stock: Harendra Kumar, Elara Capital","{""Indusind"": ""negative"", ""Elara Capital"": ""neutral""}",8
7341,Record high prices no bar for gold sales,"{""gold"": ""positive""}",8
9694,"IVRCL: Debt pile, slow progress of projects weigh down the company","{""IVRCL"": ""negative""}",11
8918,Sentiment in government bond market turns bearish,"{""government bond"": ""negative""}",7
7138,Overall IT sector remains compelling: Taher Badshah,"{""IT sector"": ""positive""}",7
2965,"DCM Shriram Consolidated rallies 17%, hits 52-week high on plans to reward shareholders","{""DCM Shriram Consolidated"": ""positive""}",13
2530,CESC Q2 standalone net profit jumps 25.7% to Rs 171 cr,"{""CESC"": ""positive""}",11
5773,Gold remains steady in line with international sentiment,"{""Gold"": ""neutral""}",8
1049,Citigroup joins foreign brokerages in cutting year-end target for Indian stocks,"{""Citigroup"": ""neutral""}",11
7046,Almond futures gain 0.32% on spot demand,"{""Almond"": ""positive""}",7
1961,DHFL net profit up 52% to Rs 138.4 crore,"{""DHFL"": ""positive""}",9
2531,Chana price rises by 0.38 per cent as demand picks up,"{""Chana"": ""positive""}",11
8430,"Top seven companies add Rs 44,044 crore to investor wealth; SBI shines","{""SBI"": ""positive""}",12
4918,Sensex ends on flat note; IT stocks lead post Infosy Q3 results,"{""IT stocks"": ""positive"", ""Infosy"": ""positive"", ""Sensex"": ""neutral""}",12
5902,Sebi tightens norms for issue of participatory notes,"{""Sebi"": ""neutral""}",8
8287,City Union Bank set to report strong income in next few quarters,"{""City Union Bank"": ""positive""}",12
4260,"Nifty may show signs of weakness; IT, banks hold the key","{""IT"": ""positive"", ""banks"": ""positive"", ""Nifty"": ""negative""}",11
5657,Trent Ltd reappoints Philip Auld as CEO,"{""Trent Ltd"": ""neutral""}",7
6098,Midcap IT space insulated with domestic uncertainties: Prakash Diwan,"{""Midcap IT space"": ""neutral""}",9
5908,Sebi to seek extra funds for investor programmes,"{""Sebi"": ""neutral""}",8
7374,Subdued Ifo takes M&A shine off European stocks,"{""European stocks"": ""positive""}",8
2979,GAIL Q2 PAT beats estimates at Rs 1303 crore; stock at 52-week high,"{""GAIL"": ""positive""}",13
10292,Over 100-point gap down opening seen for Nifty; Sensex may retest 27K,"{""Nifty"": ""negative"", ""Sensex"": ""neutral""}",12
10007,Sugar costlier by up to Rs 2 per kg on import duty hike,"{""Sugar"": ""negative""}",13
6722,Of course Greece had a plan for a new currency: Paul Krugman,"{""Greece"": ""neutral""}",12
7843,Ind Swift Laboratories Q3 loss narrows to Rs 12.37 crore,"{""Ind Swift Laboratories"": ""positive""}",10
8265,100 days of Narendra Modi government: Sensex rallies nearly 9%; top bets,"{""Sensex"": ""positive""}",12
9438,FII buying in V-Mart Retail crosses limit; no further purchase,"{""V-Mart Retail"": ""negative""}",10
3139,"Hike in the freight rates is a bold, bold step by government: Pankaj Pandey, ICICIdirect.com","{""ICICIdirect.com"": ""neutral""}",15
8326,Government's proposed rule regarding ABS will boost auto components sector: Prakash Diwan,"{""auto components sector"": ""positive""}",12
10679,"Financial, commodity markets will remain closed on Friday","{""Financial"": ""negative"", ""commodity markets"": ""negative""}",8
1827,Capgemini raises 2015 revenue outlook on Igate acquisition,"{""Capgemini"": ""positive""}",8
5549,HSBC sees Rupee at 60-levels by December,"{""HSBC"": ""neutral"", ""Rupee"": ""neutral""}",7
561,Ennore Port to approach Shipping Ministry for IPO approval,"{""Ennore Port"": ""neutral""}",9
9482,IT companies may not enjoy the rupee edge for long,"{""IT companies"": ""negative""}",10
8436,Uninor operating loss narrows down to Rs 70 cr in second quarter,"{""Uninor"": ""positive""}",12
5436,Infosys Q4 FY14 results: 10 takeaways,"{""Infosys"": ""neutral""}",6
4438,"Macro headwinds are against the auto stocks: Vikas Khemani, Edelweiss Securities Ltd","{""auto stocks"": ""negative""}",12
8598,"Advani Hotels locked in upper circuit, up 20%, hits 52-week high; volumes surge over 1000%","{""Advani Hotels"": ""positive""}",15
1443,Road shows for SAIL FPO delayed,"{""SAIL"": ""neutral""}",6
8454,"Berger Paints a decent bet from a medium term horizon: Avinnash Gorakssakar, Mintdirect.com","{""Berger Paints"": ""positive"", ""Mintdirect.com"": ""neutral""}",13
4407,GMR Infrastructure's net loss widens to Rs 441 crore in December quarter,"{""GMR Infrastructure"": ""negative""}",12
10256,South Korean shares reverse early gains to close flat; won edges lower,"{""won"": ""negative"", ""South Korean shares"": ""neutral""}",12
1690,Infosys: Will it surprise markets once again?,"{""Infosys"": ""positive""}",7
10611,Japanese yen slips in Asia following weak China data,"{""Japanese yen"": ""negative""}",9
9680,IiAS tells Maruti's institutional holders to oppose Suzukis's proposed Gujarat plant,"{""Suzuki"": ""negative"", ""Maruti"": ""neutral"", ""IiAS"": ""neutral""}",11
5963,Alumni back IIM-A: 40 crore promised in a day,"{""IIM-A"": ""neutral""}",9
2497,Amrutanjan Healthcare Q4 net up 89 pc to Rs 5.59 cr,"{""Amrutanjan Healthcare"": ""positive""}",11
9456,GSPC likely to postpone IPO as merchant bankers advise caution,"{""GSPC"": ""negative""}",10
341,How India Inc can woo more international investors,"{""India Inc"": ""neutral""}",8
2409,"REC board approves raising Rs 3,000 cr through tax-free bonds","{""REC"": ""positive""}",10
8989,Costlier oilmeals not palatable to key global consumers,"{""oilmeals"": ""negative""}",8
5783,How much should you be investing in gold?,"{""gold"": ""neutral""}",8
4577,"Infosys tanks 8%; m-cap down by Rs 14,235 cr as BG Srinivas quits","{""Infosys"": ""negative""}",13
3726,F&O volumes plunge as VIX sinks to new low,"{""VIX"": ""negative""}",9
2786,"Construction players to get impetus from Budget 2015: Vinay Khattar, Edelweiss Financial","{""Construction players"": ""positive"", ""Edelweiss Financial"": ""neutral""}",12
1013,Wall Street Week Ahead: Don't leave small-cap stocks for dead,"{""Wall Street"": ""neutral""}",10
5281,"Sensex turns choppy, Nifty trades near 7950 levels","{""Sensex"": ""negative"", ""Nifty"": ""neutral""}",8
4896,"German stocks power to new high; euro, US Federal Reserve in focus","{""German stocks"": ""positive"", ""euro"": ""neutral"", ""US Federal Reserve"": ""neutral""}",12
7122,Kim Eng India recommends Buy on HDIL,"{""HDIL"": ""positive"", ""Kim Eng India"": ""neutral""}",7
6550,"Markets overbought, hence there could be momentum loss: Mitesh Thacker, miteshthacker.com","{""miteshthacker.com"": ""neutral"", ""Markets"": ""neutral""}",11
4038,Network18 Media reports Rs 11.72 crore loss in December quarter,"{""Network18 Media"": ""neutral""}",10
149,Ravi Venkatesan joins Rockefeller Foundation Board,"{""Rockefeller Foundation Board"": ""neutral""}",6
286,Maytas Infra to consider share issue July 19,"{""Maytas Infra"": ""neutral""}",8
10385,"TCS, L&T, RIL, Tata Motors, NTPC safe bet to retire on","{""TCS"": ""positive"", ""L&T"": ""positive"", ""RIL"": ""positive"", ""Tata Motors"": ""positive"", ""NTPC"": ""positive""}",11
8556,"Can buy Reliance on declines of Rs 15-20: Sandeep Wagle, APTART Technical Advisory Services","{""Reliance"": ""positive"", ""APTART Technical Advisory Services"": ""neutral""}",14
9041,India bond yields fall on Arun Jaitley comments,"{""India bond"": ""negative""}",8
6771,"As Modi government first anniversary approaches, are markets headed for an inflection point?","{""markets"": ""neutral""}",13
4444,Minority shareholders challenge Bombay High Court order on Cadbury India's buyback offer,"{""Cadbury India"": ""negative""}",12
7447,Castrol Q4 net up 7% to Rs 126 crore,"{""Castrol"": ""positive""}",9
237,D-Street shakeup may be triggered by MSCI rejig,"{""MSCI"": ""neutral""}",8
10315,Hindalco and Tata Steel look good in metal space: Ashwani Gujral,"{""Hindalco"": ""positive"", ""Tata Steel"": ""positive""}",11
7124,KSK Energy likely to give good returns,"{""KSK Energy"": ""positive""}",7
8987,Coriander futures gain 0.79% on upsurge in demand,"{""Coriander"": ""negative""}",8
3084,FIIs to pump $2.55 billion into Indian debt market; Rupee set to strengthen further,"{""Rupee"": ""positive""}",14
633,NCDEX seeks permission to do futures trading in sugar,"{""NCDEX"": ""neutral""}",9
6814,Oil prices mixed in Asian trade as dealers await fresh US economic data,"{""Oil"": ""neutral""}",13
2494,Amara Raja Batteries net profit at Rs 41 cr; stock up,"{""Amara Raja Batteries"": ""positive""}",11
2666,Preview: Axis Bank likely to report 22% rise in Q4 NII,"{""Axis Bank"": ""positive""}",11
9383,"Aurobindo Pharma shares fall; company comes under USFDA lens, again","{""Aurobindo Pharma"": ""negative""}",10
9056,Make a contra call on ITC: Hemendra Hazari,"{""ITC"": ""negative""}",8
9601,Apple's stock dips over 4% as concerns mount about iPhone shipments,"{""Apple"": ""negative""}",11
4212,"Global, not internal factors, weighing on rupee; 64.5 unlikely, say experts","{""rupee"": ""negative""}",11
3875,Time to book out of Sesa Sterlite: Ambareesh Baliga,"{""Sesa Sterlite"": ""negative""}",9
2818,"Hopes of rate cut, good Q3 lift Sensex to a new high","{""Sensex"": ""positive""}",12
8894,Paint stocks valuations not comfortable: Deven Choksey,"{""Paint stocks"": ""negative""}",7
10555,"Infy, HCL, TCS should do well : Emkay Global","{""Infy"": ""positive"", ""HCL"": ""positive"", ""TCS"": ""positive"", ""Emkay Global"": ""neutral""}",9
9666,Gold offtake slows as consumers expect price correction despite global uptrend,"{""Gold"": ""negative""}",11
7427,Berger Paints logs 35% increase in Q1 net profit,"{""Berger Paints"": ""positive""}",9
9256,Kenneth Andrade exits IDFC Mutual Fund leaving investors jittery,"{""IDFC Mutual Fund"": ""negative""}",9
9272,"More lawsuits filed against Honda, Takata over air bags","{""Honda"": ""negative"", ""Takata"": ""negative""}",9
9900,Sell Lupin Ltd with a stop loss of Rs 1360: Mitesh Thacker,"{""Lupin Ltd"": ""negative""}",12
1736,Traders build bullish bets on gold,"{""gold"": ""positive""}",6
7398,WNS Q2 net up 65% at $15.3 million,"{""WNS"": ""positive""}",8
4256,Metals continue to correct on demand woes as China data disappoints,"{""Metals"": ""negative""}",11
9657,FTIL drags Forward Markets Commission to court over amended shareholding norms,"{""Forward Markets Commission"": ""negative"", ""FTIL"": ""neutral""}",11
2476,Westlife raises Rs 180 cr via preferential issue of shares,"{""Westlife"": ""positive""}",10
10737,Rupee gains 29 paise against US dollar,"{""Rupee"": ""positive"", ""US dollar"": ""neutral""}",7
3714,Engineers India FPO gets lukewarm response on Day 1,"{""Engineers India"": ""negative""}",9
9664,"Gold demand falls in Q2 as jewellery, bar sales slide: WGC","{""Gold"": ""negative""}",11
1805,Players can borrow against corporate bonds,"{""corporate bonds"": ""positive""}",6
708,Sebi mulls YieldCo listing norms in renewable funding push,"{""Sebi"": ""neutral"", ""YieldCo"": ""neutral""}",9
9891,"Sectors, stocks that are likely to be impacted due to euro fall","{""euro"": ""negative""}",12
5190,"Sensex rangebound, Nifty directionless; top fifteen stocks in focus","{""Sensex"": ""neutral"", ""Nifty"": ""neutral""}",9
5473,Biocon marketing head Rakesh Bamzai quits,"{""Biocon"": ""neutral""}",6
73,Sugar ends steady in thin trade,"{""Sugar"": ""neutral""}",6
7844,Ind Swift Laboratories up 13% on Piramal stake buy reports,"{""Ind Swift Laboratories"": ""positive"", ""Piramal"": ""neutral""}",10
5102,Nifty ends on flat note; Maruti tanks post Q3 results,"{""Maruti"": ""negative"", ""Nifty"": ""neutral""}",10
6765,World's first fixed income Indian ETF to be traded on Deutsche Bourse,"{""Deutsche Bourse"": ""neutral""}",12
1126,Market taking cues from global factors and quarterly results: Sudip Bandyopadhyay,"{""Market"": ""neutral""}",11
1242,Forward Markets Commission to soon take a call on NSEL e-series payments,"{""Forward Markets Commission"": ""neutral"", ""NSEL"": ""neutral""}",12
8879,Mustardseed futures slip on weak spot cues,"{""Mustardseed"": ""negative""}",7
2350,Morgan Stanley upgrades Axis Bank to Overweight; ups target price,"{""Axis Bank"": ""positive"", ""Morgan Stanley"": ""neutral""}",10
6603,SelectUSA arrives to lure SMEs to set up shop in USA,"{""SelectUSA"": ""neutral"", ""USA"": ""neutral""}",11
6781,ET 500: Which companies are likely to make it to Sensex by 2020?,"{""Sensex"": ""neutral""}",13
4359,Year-end profit booking by FIIs weighs on Sensex despite reform push,"{""Sensex"": ""negative""}",11
1344,Kesoram Industries to mop up upto Rs 500 crore through a rights issue,"{""Kesoram Industries"": ""neutral""}",13
10742,"Turmeric, jeera rise on buying support","{""Turmeric"": ""positive"", ""jeera"": ""positive""}",6
9341,Spicejet cracks nearly 6%; here what the management says,"{""Spicejet"": ""negative""}",9
10304,South Korea stocks edge down after Samsung Electronics's weak Q2 earnings guidance,"{""South Korea stocks"": ""negative"", ""Samsung Electronics"": ""negative""}",12
8633,"Praj Industries back on growth track with ethanol business revival, Ganga project and margin play","{""Praj Industries"": ""positive""}",15
6653,Chandan Deep Singh Dang appointed as Chief Marketing Officer of Tupperware India,"{""Tupperware India"": ""neutral""}",12
1101,"Immediate target is around 3400 in SBI: Prasad Kushe, Technical Analyst","{""SBI"": ""neutral""}",11
8842,Gold futures fall on weak global cues,"{""Gold"": ""negative""}",7
7328,"PFC's Q4 profit rises 9% to 1,411 crore","{""PFC"": ""positive""}",8
7623,Recent developments are positive for ONGC stock: Gajendra Nagpal,"{""ONGC"": ""positive""}",9
988,"Sesa Goa: Iron ore policy, demand from China hold key","{""Sesa Goa"": ""neutral""}",10
2853,"Low valuations, price corrections make Jubilant Life Sciences a good stock pick","{""Jubilant Life Sciences"": ""positive""}",12
8854,"Hong Kong shares fall again, financials down","{""Hong Kong shares"": ""negative""}",7
631,"Nagesh Basavanhalli to head India business of Fiat, Chrysler","{""Fiat"": ""neutral"", ""Chrysler"": ""neutral""}",9
1250,IndiGo plans to raise $400 million by selling 10% stake via IPO,"{""IndiGo"": ""neutral""}",12
3180,"Midcap stock certainly will be the flavour of the season: Dipan Mehta, Member, BSE and NSE","{""Midcap stock"": ""positive"", ""BSE"": ""neutral"", ""NSE"": ""neutral""}",16
483,Stock-specific action likely; all eyes on Bank Nifty,"{""Bank Nifty"": ""neutral""}",8
3041,Q4 weakness a temporary blip; buy largecap IT stocks on dips: Neeraj Deewan,"{""largecap IT stocks"": ""positive""}",13
5011,"Sensex@22,339, fresh closing high; Nifty seen at 6,900 in 30 days","{""Sensex"": ""positive"", ""Nifty"": ""neutral""}",11
9395,Brent slips below $72 after sharp rally in volatile market,"{""Brent"": ""negative""}",10
7001,DHFL looks promising: Prakash Diwan,"{""DHFL"": ""positive""}",5
3274,Scotland split jitters send sterling to 10-month low,"{""sterling"": ""negative""}",8
7228,Britannia Industrie consolidated Q3 net rises 62 %,"{""Britannia Industrie"": ""positive""}",8
3684,CIL shares fall over 2 per cent post earnings,"{""CIL"": ""negative""}",9
